indicator_id,region_id,date,value
ZATT,2527,2020-01-31,693784.0
ZATT,1582,2020-01-31,156013.0
ZATT,2470,2020-01-31,284440.0
ZATT,2495,2020-01-31,233222.0
ZATT,1351,2020-01-31,272280.0
ZATT,938,2020-01-31,267017.0
ZATT,78,2020-01-31,326381.0
ZATT,3253,2020-01-31,888642.0
ZATT,1782,2020-01-31,231376.0
ZATT,1805,2020-01-31,212588.0
ZATT,1821,2020-01-31,302499.0
ZATT,2368,2020-01-31,546151.0
ZATT,701,2020-01-31,255405.0
ZATT,446,2020-01-31,190811.0
ZATT,3074,2020-01-31,476841.0
ZATT,3168,2020-01-31,456117.0
ZATT,1218,2020-01-31,348290.0
ZATT,3164,2020-01-31,247820.0
ZATT,494,2020-01-31,300162.0
ZATT,2266,2020-01-31,219800.0
ZATT,1930,2020-01-31,417668.0
ZATT,1703,2020-01-31,191326.0
ZATT,2923,2020-01-31,325134.0
ZATT,255,2020-01-31,1288314.0
ZATT,1575,2020-01-31,212831.0
ZATT,2572,2020-01-31,209383.0
ZATT,2900,2020-01-31,190595.0
ZATT,2351,2020-01-31,472105.0
ZATT,2207,2020-01-31,553460.0
ZATT,2001,2020-01-31,151146.0
ZATT,2401,2020-01-31,262314.0
ZATT,1289,2020-01-31,527306.0
ZATT,1854,2020-01-31,299577.0
ZATT,1671,2020-01-31,271046.0
ZATT,3077,2020-01-31,367563.0
ZATT,1901,2020-01-31,179145.0
ZATT,1992,2020-01-31,220752.0
ZATT,2524,2020-01-31,351166.0
ZATT,2712,2020-01-31,323880.0
ZATT,1423,2020-01-31,239171.0
ZATT,2095,2020-01-31,183169.0
ZATT,1634,2020-01-31,254359.0
ZATT,2628,2020-01-31,436504.0
ZATT,2890,2020-01-31,226093.0
ZATT,1819,2020-01-31,357762.0
